,state,age,title,content,date,negative_worde
0,Mumbai,[],Student survives suicide attempt,"Mumbai: A Class 7 student jumped off the third floor of of a school in an eastern suburb in a case of attempted suicide on October 3. School authorities rushed the child to a hospital where she is undergoing treatment. A senior school functionary said, “The child’s mother says she has been depressed since her father’s death due to a heart attack in March.”tnn",07-10-2022,"['suicide', 'depressed', 'death', 'attack']"
1,COIMBATORE,[],CB-CID takes over TNAU student suicide case,"COIMBATORE: Director general of police (DGP) C Sylendra Babu has transferred the case of Tamil Nadu Agricultural University (TNAU) student’s suicide to the city Crime Branch-CID police. P Prasoth Kumar, 19, a first-year BTech student, was found hanging from the ceiling of his room at the TNAU students’ hostel on August 10 after he failed to secure a seat for BSc Forestry. Kumar was a resident of Aathumedu Street at Thorapadi near Chengam in Thiruvannamalai district. While the Saibaba Colony police initially registered a case under Section 174 of the Criminal Procedure Code, the DGP transferred the case to the CB-CID the very next day (Aug 11). The CB-CID police have registered a fresh first information report in the case and held inquiries with Kumar’s roommates, parents and friends. “We have sent his mobile phone to the forensic laboratory. We will visit his hometown to collect more information. As of now, there is no sign of any foul play in his death,” the officer said. Kumar, he said, had attempted to commit suicide in May by consuming arali seeds. However, he was rushed to a private hospital and saved. ",17-08-2022,"['suicide', 'failed', 'foul', 'death', 'suicide']"
2,Bhopal,[],Student dies by suicide in Ratibad,"Bhopal: A BCom second year student died by suicide by hanging himself at his cousin’s home in Ratibad on Wednesday. No suicide note was recovered and the the reason behind his extreme step could be revealed after recording the statements of his friends and family members, police said. Ratibad SHO Sudhesh Tiwari said that Manoj Wankhede, 19, hailed from Yavatmal in Maharashtra. He resided here at his cousin’s home in Puja Colony in Neelbad and studied at a private university. He died by suicide on Wednesday afternoon. No suicide note was recovered and the body was handed over to the family members on Thursday after autopsy. SHO Tiwari said that Manoj was a good student and passed class 12 with 83% score. He got a scholarship. His elder brother Vaibhav Wankhede reached Bhopal from Maharashtra on getting information. Further investigations were on in the case. TNN",23-09-2022,"['died', 'suicide', 'suicide', 'died', 'suicide', 'suicide']"
3,CHENNAI,[],Kallakurichi school girl’s death: CB-CID police continue probe for second consecutive day,"CHENNAI: The CB-CID police that have been assigned to probe the Class 12 student’s death by leaping off the third floor of the school hostel building have started their second day of investigation in the case. On Tuesday, the CB-CID police team led by the superintendent of police (SP) and two deputy superintendent of police (DSP), and three inspectors of police visited the Sakthi International School at Kaniyamur village in Chinna Salem, Kallakurichi. Earlier the girl Srimathi was found dead on the school hostel campus early on July 14, however, she fell off the third floor of the four-story building at around 10.30pm on July 13, the investigation officers said quoting the CCTV camera footage that captured the girl falling off the third floor from a distance, as there were no cameras installed. A police officer said, “There were some unusual movements at the tree branches that protrude to the third floor.” However, the officer also confirmed that the video clip was not clear. Meanwhile, the Chinna Salem police that probed the case from July 14 to July 17 confirmed that the sets of fingerprints on the wall closer to the place where the girl’s body was recovered were not ‘blood’ and the cops confirmed it as a paint. The ‘red colour’ palm print was on the wall for more than a year now as the cops and the school management have confirmed this displaying some old photos shot near the location by some of the students. The police investigators also clarified that the palm print might have been left behind by a painter who white-washed the school campus. Likewise, there was also another set of rumors spread on social media that there were red palm prints on the staircase of the school building that also went viral on social media alleging that these sets of fingerprints belong to the deceased girl Srimathi. The investigation officer who took samples from the staircase confirmed that they were red ballpoint pens and red ink, and they were not ‘blood’. ",19-07-2022,"['death', 'dead', 'fell', 'falling', 'unusual', 'rumors']"
4,PUNE,"['25-year-old', '32-year-old']","Maharashtra: Woman FTII student found hanging in hostel room, cops suspect suicide",?,01-09-2022,"['broken', 'suicide', 'suicide']"
5,MADURAI,"['16-year-old', '17-year-old', '17-year-old', '17-year-old']",Tamil Nadu suicide deaths: Total five cases after two more students die,"MADURAI: After the alleged suicidal deaths of three students in Tamil Nadu, two more similar incidents came to light on Tuesday. In the first incident, a Class 11 student died by suicide in Tirunelveli’s Munnerpallam area on Tuesday morning. The 16-year-old boy was studying in an aided school at Palayamkottai. Read AlsoOne more Class 12 girl dies by suicide in Tamil NaduCUDDALORE: A Class XII girl student of a private school in Cuddalore district of Tamil Nadu died by suicide at her home on Monday night after she fared poorly in a monthly Tamil examination. The 17-year-old girl was in a dejected mood after appearing for the exam on Monday. She hanged herself whenHe jumped in front of a speeding train and died on the spot. Munneerpallam police have recovered the dead body and have sent it for post-mortem. Investigation revealed that he was addicted to mobile phones which caused friction at home with his parents. In another incident, a girl studying Class 11 in a government school in Sivakasi died by suicide on Tuesday. Read AlsoTamil Nadu: Tiruvallur tense after Class XII girl kills herselfA Class XII girl student was found hanging in the hostel room of Sacred Heart Girls Higher Secondary school, a government aided institution near Kilachery in Tiruvallur district, 50 km from Chennai, on Monday.The victim's parents work in fireworks companies. When her grandmother visited the girl’s house, she found the girl hanging. The neighbours brought the girl down, but she was dead. Maraneri police have registered a case. Read AlsoClass XII girl ends life in school hostel room near ChennaiCHENNAI: A Class XII girl hanged herself in a hostel room of a government-aided school at Kilacheri in Tiruvallur district of Tamil Nadu on Monday morning. People from her village near Tiruttani staged a road roko alleging a foul play in her death. On Monday morning, the 17-year-old told her friendsThe dead body was taken to Sivakasi Government Hospital for post-mortem. In the earlier incident in the Tiruvallur district, the girl's body was taken to the Tiruvallur government medical college and hospital for post-mortem. Police claim she reportedly took the extreme step during the wee hours of Monday. The incident led to protests by a few locals and parents near the school premises amid heavy police deployment. Police said that her parents were daily wage labourers. The victim was studying in a government-aided school in Kilacheri village in the district. On July 13, a 17-year-old girl reportedly died in her hostel premises of a private school in Kallakurichi. The girl's parents suspected foul play while police said she allegedly died by suicide. (With inputs from agencies)",27-07-2022,"['suicidal', 'died', 'suicide', 'suicide', 'died', 'suicide', 'poorly', 'dejected', 'died', 'dead', 'addicted', 'friction', 'died', 'suicide', 'tense', 'kills', 'dead', 'foul', 'death', 'dead', 'protests', 'died', 'foul', 'died', 'suicide']"
6,HYDERABAD,['20-year-old'],"Telangana: First year IIIT-Basara student dies by suicide, campus on the boil","HYDERABAD: Trouble erupted on the IIIT-Basara campus again on Tuesday after an engineering student died by suicide in his hostel room. While the local police said the 20-year-old, Rathod Suresh, hanged himself owing to personal reasons. The incident led to widespread protests on the campus. A resident of Dichpally in Nizamabad district, Suresh was pursuing first year civil engineering course. His body was taken to the Nirmal hosptial where doctors performed the post mortem examination. Police registered a case under section 174 (suspicious death) of the CrPc. ""On Tuesday, when other students went to college, he stayed back. Later when his room-mates returned to the hostel for lunch, they found the door locked. They broke open the door to find Suresh hanging,"" said Basara inspector Vinod Reddy. While the reason for the suicide is not known, Praveen Reddy, superintendent of police (Nirmal), said prima facie they suspect it be for personal reasons. Cops are now analysing the data on his mobile phone to gather leads. No suicide note was found in the room. Meanwhile, soon after news of the suicide spread, protests broke out, both inside and outside the IIIT campus. ",24-08-2022,"['died', 'suicide', 'protests', 'suspicious', 'death', 'broke', 'suicide', 'suspect', 'suicide', 'suicide', 'protests', 'broke']"
7,SRIKAKULAM,['17-year-old'],Andhra Pradesh: IIIT student in Srikakulam dies by suicide,"SRIKAKULAM: A student of Indian Institute of Information Technology (IIIT) in Srikakulam district died by suicide on Wednesday afternoon. Bhaviri Visista Roshini ended her life by hanging herself to the ceiling fan in the hostel room in the IIIT. The reasons behind the extreme step are yet to be ascertained. This is the second suicide in the same IIIT within seven months as another girl was also committed suicide 24 hours after returning from the home to the institute. The 17-year-old girl Roshini is a resident of Tattikota Street in Saluru town in newly formed Parvathipuram Manyam district. She is pursuing second year PUC in the IIIT. The elder daughter of two children of a Gold Appraiser in a bank in Saluru, B Haranatha Chari, committed suicde by hanging herself with the help of Chunni. The IIIT Director Jagadeesh told TOI that staff of the hostel noticed it and immediately shifted her to the hospital where she breathed her last while undergoing treatment. ""We were shocked after hearing the news. The reasons behind the extreme step are yet to be probed by the authorities,"" he said. According to sources, the girl wrote her second semester examination and returned to the hostel. Later, she attempted suicide within few minutes. Sources said that she had written a suicide note and said that she was committing suicide as she did not perform well in the examination. But the director of the IIIT Jagadeesh said that there was no suicide note in her room.  Etcherla cops are investigating the case. ",07-09-2022,"['died', 'suicide', 'suicide', 'suicide', 'shocked', 'suicide', 'suicide', 'suicide', 'suicide']"
8,"The National Testing Agency released the NEET UG 2022 Result on Wednesday. The medical entrance exam is one of the toughest exams in India. We all know how difficult it is to crack the NEET exam and this is the reason why a lot of stress has been witnessed among the aspirants of NEET. There have been many such cases where students ended their own lives due to failure in the coveted exam. After the declaration of the NEET result, late at night on Wednesday, a girl identified as Lakshana Swetha from Tamil Nadu's Thirumullaivoyal took her life by hanging herself. Another student from Noida took her life by jumping from the 19th floor of the apartment after failing in NEET. 22-year-old student Sampada Singh was in depression due to failure in the exam. According to NCRB Data, in 2020, 12,526 students died by suicide, while in 2021, the number rose to 13,089. The specific reasons are not mentioned in the report. However, it says 864 out of 10,732 youngsters under the age of 18 years took their lives due to 'failure in examination'. The most significant cause of suicide in those under 18 years was 'family problems'. In 2017, 9,905 students died by suicide, of which 59.71 per cent were male, and 47.56 per cent were female students. In 2018, it increased to 10,159, of which 52.85 per cent were male, and 47.15 per cent were female. Similarly, in 2019, this number was 10,335, including 53.82 per cent male students, and 46.17 per cent female students. In 2020, it increased rapidly reaching 12,526, where the ratio of male students was 55.62 per cent, and the ratio of female students was 44.38 per cent. If we look at the latest report for 2021, the number of suicide cases also increased. A total of 13,089 students ended their own lives, including 56.51 per cent male students, and 43.49 per cent female students.",['22-year-old'],"Students suicide highest in the last 5 years, many took life due to failure in exam: NCRB Data","The National Testing Agency released the NEET UG 2022 Result on Wednesday. The medical entrance exam is one of the toughest exams in India. We all know how difficult it is to crack the NEET exam and this is the reason why a lot of stress has been witnessed among the aspirants of NEET. There have been many such cases where students ended their own lives due to failure in the coveted exam. After the declaration of the NEET result, late at night on Wednesday, a girl identified as Lakshana Swetha from Tamil Nadu's Thirumullaivoyal took her life by hanging herself. Another student from Noida took her life by jumping from the 19th floor of the apartment after failing in NEET. 22-year-old student Sampada Singh was in depression due to failure in the exam. According to NCRB Data, in 2020, 12,526 students died by suicide, while in 2021, the number rose to 13,089. The specific reasons are not mentioned in the report. However, it says 864 out of 10,732 youngsters under the age of 18 years took their lives due to 'failure in examination'. The most significant cause of suicide in those under 18 years was 'family problems'. In 2017, 9,905 students died by suicide, of which 59.71 per cent were male, and 47.56 per cent were female students. In 2018, it increased to 10,159, of which 52.85 per cent were male, and 47.15 per cent were female. Similarly, in 2019, this number was 10,335, including 53.82 per cent male students, and 46.17 per cent female students. In 2020, it increased rapidly reaching 12,526, where the ratio of male students was 55.62 per cent, and the ratio of female students was 44.38 per cent. If we look at the latest report for 2021, the number of suicide cases also increased. A total of 13,089 students ended their own lives, including 56.51 per cent male students, and 43.49 per cent female students. ",12-09-2022,"['difficult', 'crack', 'stress', 'failure', 'failing', 'depression', 'failure', 'died', 'suicide', 'suicide', 'problems', 'died', 'suicide', 'suicide']"
9,Kanpur,['17-year-old'],"Shamed at college, student threatens suicide in Kanpur","Kanpur: Peeved over alleged humiliation at his college assembly, a 17-year-old class XIIth student of a private college locked himself in a room of his house at Lakshmanpur of city’s Bithoor area on Friday, threatening to end his life with a knife.He claimed the manager of his college allegedly humiliated him and cut off the sleeve of his shirt with a pair of scissors in the assembly for reaching school late.Rajesh (name changed) is a student of class XII at a private inter college, in Naramau. In the complaint lodged at the Mandhana police out-post, he alleged that he had reached school 15 minutes late on Friday. And because of the humid weather condition, he had folded the sleeves of his shirt.However, the school manager humiliated him badly. He stopped Rajesh at the assembly ground and slashed off the sleeve of his shirt in front of students and school staff.After returning home, at around 8.15 pm, Rajesh first wrote a suicide note saying that he is going to commit suicide because of the humiliation in the school. After this, he picked up a knife and locked himself in a room.His family members, on finding the doors of his room locked, gave repeated knockings but in vain. The boy later told them that he will not open the door and will end his life by cutting the veins of his hand with a knife.The panicked family members immediately alerted the police on Dial 112.Constables Kuldeep Pal, Devendra Singh and Ramesh Singh, who immediately rushed to the spot, rescued Rajesh after assuring him of strict action against the college manager.The family members thereafter gave a complaint to the police against the school manager.Inspector Bithoor Amar Nath Vishwakarma said, “ A complaint has been received in the matter and search is on for the school manager. Action will be taken after registering a case on the basis of the complaint.”",11-09-2022,"['humiliation', 'threatening', 'complaint', 'humid', 'badly', 'suicide', 'suicide', 'humiliation', 'knife', 'vain', 'panicked', 'strict', 'complaint', 'complaint', 'complaint']"
